slug,name,days.1.score,days.1.place,days.1.youtube,days.1.notes,days.2.score,days.2.place,days.2.youtube,days.2.notes,days.3.score,days.3.place,days.3.youtube,days.3.notes,days.4.score,days.4.place,days.4.youtube,days.4.notes,days.5.score,days.5.place,days.5.youtube,days.5.notes,days.6.score,days.6.place,days.6.youtube,days.6.notes,days.7.score,days.7.place,days.7.youtube,days.7.notes
spelunky,Dan Gheesling,"27,200",third,gTNBOYQF1xU,,"27,500",third,2y9Sunqkgls,,"52,100",third,ITZZcen4XpY,,"16,600",third,TSSL2YRm7fM,,DNF,third,dSnjyDvjNAA,"Dan missed the daily challenge, but he did attempt a run with a score of 22,800.",DNF,third,4W6amNE0XZI,"Dan missed the daily challenge, but he did attempt a run with a score of 23,025.","9,200",third,VvrgEb-rXRI,
spelunky,Michael Al Fox,"546,725",second,4MkTqw7GUHs,,"74,150",second,,,"843,000",first,,,"505,900",first,,,"50,200",second,,,"782,875",first,,,"46,600",second,,
spelunky,Northernlion,"559,650",first,7Jc2iZKxmSw,"At the end of the video, Northernlion falsely stated his score was 459,650, as he did not account for the point bonus you receive when defeating Yama.","632,575",first,,,"693,725",second,,,"253,025",second,,,"771,025",first,,,"602,050",second,,,"675,950",first,,
tarkov,Dan Gheesling,20:08,second,,,31:13:00,second,,,"93,914",second,,,"136,634",first,,,7:41,third,,,3:19,second,,,10:10,third,,
tarkov,Michael Al Fox,"107,352",first,,,"131,742",first,,,"339,150",first,,,"88,422",second,,,"263,467",first,,,"124,106",first,,,12:28,second,,
tarkov,Northernlion,10:02,third,,,7:49,third,,,3:33,third,,,"22,370",third,,,"53,662",second,,,1:58,third,,,"126,455",first,,
hitman,Dan Gheesling,2 Targets,second,adus6IXy7vo,,0 (completed),third,Mo3Jzt22ho4,,"62,768",second,P-6wfvZhjXk,,"63,923",second,S1ZkIMqVX70,,1 Target,third,ShAJT2SmGOc,,2 Targets,third,Wh9xXkjTInA,,4 Targets,third,Ayqw-2gAgBU,
hitman,Michael Al Fox,1 Target,third,ADoNODQCHko,,"42,258",second,Jk1xHsm-AYM,,"128,555",first,cyLkJTwiY3k,,0 (completed),third,I2rTejIlUHM,,"163,391",first,evQuJZnhomw,,"42,342",first,D3-8FpK-vKY,,"163,989",first,NQssbJzBsnk,
hitman,Northernlion,"21,114",first,F04wJehkwJs,,"63,259",first,NiQPZfd-AXo,,"32,140",third,GEnguNu2sdQ,,"85,571",first,CUMCeGWh75A,,"15,835",second,7qKzKCZ9_Gs,,"21,132",second,2sFsSL2oqKI,,"158,321",second,hQ6veULvsRU,
trackmania2,Dan Gheesling,00:47.174 (00:49.174),third,O_x8MVNAFTc,,00:51.571 (00:53.571),second,RN4dYHoeaBI,,00:51.241 (00:53.241),second,Id86qnNLoPs,,00:54.725 (00:56.725),third,t65fMtpT7eE,,01:26.774 (01:28.774),third,4a46NcECFc0,,00:20.836 (00:22.836),second,rPrTsEHgqiM,,,,,
trackmania2,Michael Al Fox,00:47.105 (00:48.105),second,jtdDEJCcEmI,,00:52.518 (00:53.518),third,dyAu97jPZRI,,00:53.989 (00:54.989),third,k8vXxQSb7BY,,00:54.340 (00:55.340),second,Jrhs4y6Mapo,,01:19.490 (01:20.490),second,vkQBJu9qej4,,00:20.423 (00:21.423),first,mfr-d9BNNOA,,,,,
trackmania2,Northernlion,00:46.3,first,1P1DEFPWCs0,,00:48.8,first,zpE0dPGqod0,,00:50.3,first,1Omw3mChODA,,00:52.6,first,v0pwMOgiejM,,01:15.6,first,1xVT7hyEGlU,,00:21.2,third,xWUnO0KUISw,,,,,